url_abs,centro,position,scraped_at
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=17704,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:41:30+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=17704,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,2,2026-01-16T13:41:30+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=17577,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:31+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=17577,FACULTAD DE TURISMO Y FINANZAS,2,2026-01-16T13:41:31+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=17577,FACULTAD DE CIENCIAS DEL TRABAJO,3,2026-01-16T13:41:31+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18260,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:32+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18260,FACULTAD DE TURISMO Y FINANZAS,2,2026-01-16T13:41:32+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16695,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:33+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16695,FACULTAD DE CIENCIAS DEL TRABAJO,2,2026-01-16T13:41:33+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16695,FACULTAD DE TURISMO Y FINANZAS,3,2026-01-16T13:41:33+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5420,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:34+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5420,FACULTAD DE DERECHO,2,2026-01-16T13:41:34+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=11959,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:36+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=11959,FACULTAD DE TURISMO Y FINANZAS,2,2026-01-16T13:41:36+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=11959,FACULTAD DE DERECHO,3,2026-01-16T13:41:36+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=11959,FACULTAD DE CIENCIAS DEL TRABAJO,4,2026-01-16T13:41:36+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=11959,ESCUELA INTERNACIONAL DE POSGRADO (EIP),5,2026-01-16T13:41:36+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=14856,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:37+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5755,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:41:38+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5755,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,2,2026-01-16T13:41:38+00:00
